,Unnamed: 0,price,bedrooms,bathrooms,sqft_lot,sqft_living,floors,waterfront,condition,grade,sqft_above,sqft_basement,district,grades,grade_num,total_sch,total_student,transport_dist,medical_emerg_dist,entertain_dist,job_center_dist,zip,prop_crime,viol_crime,totalcrime_percapita
22,22,233000.0,3,2.0,4697,1710,1.5,0.0,5,6,1710,0.0,auburn,B,9,24,"17,505",2.19634183491905,1.24724505208642,3.40955108332657,2.19634183491905,98002,31.29479423046897,14.224906468394988,45.51970069886396
23,23,937000.0,3,1.75,2691,2450,2.0,0.0,3,8,1750,700.0,seattle,A-,11,108,"55,271",4.0909365779973,1.62427485663446,1.18143034021172,4.0909365779973,98119,11.318552938098268,18.86425489683045,30.182807834928717
24,24,667000.0,3,1.0,1581,1400,1.5,0.0,5,8,1400,0.0,seattle,A-,11,108,"55,271",3.3456938875305005,1.00083507468263,0.679486749850582,3.3456938875305005,98112,4.1572655303280195,16.629062121312078,20.786327651640097
25,25,438000.0,3,1.75,6380,1520,1.0,0.0,3,7,790,730.0,seattle,A-,11,108,"55,271",3.41871494672448,1.84004907817122,1.92584322539488,3.41871494672448,98115,3.6982479661207934,7.396495932241589,11.094743898362381
26,26,719000.0,4,2.5,7173,2570,2.0,0.0,3,8,2570,0.0,northshore,A,12,39,23500,4.71087320045274,3.1435637305854702,1.73448166096266,4.71087320045274,98052,77.13147242154055,17.59138844701802,94.72286086855857
27,27,580500.0,3,2.5,3980,2320,2.0,0.0,3,8,2320,0.0,issaquah,A+,13,27,"20,897",0.673659695573573,2.2770788748666297,0.9516468954448001,0.673659695573573,98027,318.2653854952511,54.65163185271989,372.917017347971
28,28,280000.0,2,1.5,1265,1190,3.0,0.0,3,7,1190,0.0,seattle,A-,11,108,"55,271",6.0803676472464,2.13749583600139,2.86450070785619,6.0803676472464,98133,30.14211343357435,54.25580418043383,84.39791761400818
29,29,687500.0,4,1.75,5000,2330,1.5,0.0,4,7,1510,820.0,seattle,A-,11,108,"55,271",4.52650142804545,1.96848377193694,1.85892601982338,4.52650142804545,98117,8.647461250942321,11.52994833458976,20.177409585532082
30,30,535000.0,3,1.0,3000,1090,1.5,0.0,4,8,1090,0.0,seattle,A-,11,108,"55,271",5.02478638903648,2.13163931508081,1.94527486810703,5.02478638903648,98117,8.647461250942321,11.52994833458976,20.177409585532082
31,31,322500.0,4,2.75,6659,2060,1.0,0.0,3,7,1280,780.0,renton,B-,8,29,"16,425",5.89033406318206,3.1834428667410695,3.16646902883211,5.89033406318206,98058,789.7351246089206,188.0321725259335,977.7672971348541
32,32,696000.0,3,2.5,3060,2300,1.5,0.0,3,8,1510,790.0,seattle,A-,11,108,"55,271",2.6923698192862,1.4101407536436998,1.55322210114618,2.6923698192862,98115,3.6982479661207934,7.396495932241589,11.094743898362381
33,33,550000.0,4,1.0,34848,1660,1.0,0.0,1,5,930,730.0,northshore,A,12,39,23500,4.43236976739828,1.73253918642069,0.718672023028085,4.43236976739828,98052,77.13147242154055,17.59138844701802,94.72286086855857
34,34,640000.0,4,2.0,6000,2360,2.0,0.0,4,8,2360,0.0,seattle,A-,11,108,"55,271",4.00967216943742,1.74025749498402,1.63587046253377,4.00967216943742,98107,0.0,13.470219499920795,13.470219499920795
35,35,240000.0,4,1.0,8075,1220,1.0,0.0,2,7,890,330.0,federal way,C+,7,46,"23,489",2.67231390497361,1.60917896180285,1.59713823651688,2.67231390497361,98001,730.8116910345483,270.2624366844745,1001.0741277190227
36,36,605000.0,4,2.5,7553,2620,2.0,0.0,3,8,2620,0.0,renton,B-,8,29,"16,425",3.7398397921579503,2.80733480471742,2.64267060387819,3.7398397921579503,98056,16.286731601503636,8.143365800751818,24.430097402255456
37,37,775000.0,4,2.25,24186,4220,1.0,0.0,3,8,2600,1620.0,highline,C+,7,40,"19,213",2.11674591963724,2.11423464538245,3.83084923155178,2.11674591963724,98166,36.45145288428728,54.67717932643093,91.12863221071821
38,38,861990.0,5,2.75,5639,3595,2.0,0.0,3,9,3595,0.0,lake washington,A+,13,55,"30,675",9.04037837684284,9.994221952045619,3.69887813125711,9.04037837684284,98053,516.4919935656775,220.0705016062452,736.5624951719227
39,39,685000.0,3,1.0,2280,1570,2.0,0.0,3,7,1570,0.0,seattle,A-,11,108,"55,271",4.2437605529255,1.72235648868679,1.2139286162268101,4.2437605529255,98119,11.318552938098268,18.86425489683045,30.182807834928717
40,40,309000.0,3,1.0,9656,1280,1.0,0.0,4,6,920,360.0,renton,B-,8,29,"16,425",4.22657665459198,2.43325205211381,2.08267970604102,4.22657665459198,98058,789.7351246089206,188.0321725259335,977.7672971348541
41,41,488000.0,3,2.5,13603,3160,2.0,0.0,3,8,3160,0.0,riverview,B+,10,9,"3,482",0.710829370093196,0.746108111490954,0.321521242002738,0.710829370093196,98019,234.76854088599381,80.95466927103234,315.7232101570262
42,42,210490.0,3,1.0,8528,990,1.0,0.0,3,6,990,0.0,federal way,C+,7,46,"23,489",3.87757121277614,3.45135544526758,2.9950639540862993,3.87757121277614,98023,0.0,1.9586023155340844,1.9586023155340844
43,43,785000.0,4,2.5,13416,2290,2.0,0.0,4,9,2290,0.0,bellevue,A+,13,31,"21,609",2.62289715499953,1.6384431925216099,1.2170952966174198,2.62289715499953,98007,3.4275581640339534,3.4275581640339534,6.855116328067907
44,44,450000.0,3,1.75,5963,1250,1.0,0.0,4,7,1250,0.0,seattle,A-,11,108,"55,271",2.86040749324881,1.87533805722954,1.3525511150207299,2.86040749324881,98115,3.6982479661207934,7.396495932241589,11.094743898362381
45,45,1350000.0,3,2.5,65005,2753,1.0,1.0,5,9,2165,588.0,vashon island,A,12,5,"1,585",5.568265479359361,4.016411184237359,1.45533309718717,5.568265479359361,98070,949.267635411185,423.9447692127622,1373.2124046239471
46,46,228000.0,3,1.0,9199,1190,1.0,0.0,3,7,1190,0.0,highline,C+,7,40,"19,213",3.09589204482989,2.76671842103601,2.91173707841371,3.09589204482989,98148,45.758778936135855,18.303511574454337,64.06229051059019
47,47,345000.0,5,2.5,9134,3150,1.0,0.0,4,8,1640,1510.0,renton,B-,8,29,"16,425",2.1545876103811,1.58120580044011,0.890870626351228,2.1545876103811,98056,16.286731601503636,8.143365800751818,24.430097402255456
48,48,600000.0,3,1.75,4080,1410,1.0,0.0,4,7,1000,410.0,seattle,A-,11,108,"55,271",5.4551912842293095,2.17499946292803,2.20787662267899,5.4551912842293095,98117,8.647461250942321,11.52994833458976,20.177409585532082
49,49,585000.0,2,1.75,8550,1980,1.0,0.0,3,7,990,990.0,seattle,A-,11,108,"55,271",4.92965871333696,1.9426118806708799,2.16639135467121,4.92965871333696,98117,8.647461250942321,11.52994833458976,20.177409585532082
50,50,920000.0,5,2.25,6000,2730,1.5,0.0,3,8,2130,600.0,seattle,A-,11,108,"55,271",3.69633472765142,2.07327820245355,1.0529855241525,3.69633472765142,98105,18.06773913393521,23.488060874115767,41.55580000805098
51,51,292500.0,4,2.5,4495,2250,2.0,0.0,3,7,2250,0.0,kent,B,9,44,"27,291",3.6152031384710197,1.13266241600526,2.76726971873043,3.6152031384710197,98042,268.5737792314582,93.59389276247785,362.1676719939361
52,52,301000.0,3,2.5,4750,2420,2.0,0.0,3,8,2420,0.0,kent,B,9,44,"27,291",3.44418469753294,1.07892033298269,2.6219418177844,3.44418469753294,98042,268.5737792314582,93.59389276247785,362.1676719939361
53,53,951000.0,5,3.25,14342,3250,2.0,0.0,4,8,3250,0.0,bellevue,A+,13,31,"21,609",4.46578417902613,2.2277501862462,2.50065043537283,4.46578417902613,98008,0.0,0.0,0.0
54,54,430000.0,4,3.0,9976,1850,2.0,0.0,3,8,1850,0.0,renton,B-,8,29,"16,425",4.00502675894837,3.26367440361444,2.4674808288911603,4.00502675894837,98059,311.36759343912894,91.43334093053785,402.8009343696668
55,55,289000.0,3,1.75,8400,1260,1.0,0.0,3,7,1260,0.0,highline,C+,7,40,"19,213",2.2661676784184,2.19584918114617,3.29898536778946,2.2661676784184,98148,45.758778936135855,18.303511574454337,64.06229051059019
56,56,549000.0,3,1.75,1044,1540,3.0,0.0,3,8,1540,0.0,seattle,A-,11,108,"55,271",2.20991207297201,0.952881434343344,1.2908077849306,2.20991207297201,98115,3.6982479661207934,7.396495932241589,11.094743898362381
57,57,425000.0,3,2.25,6000,1660,1.0,0.0,3,7,1110,550.0,seattle,A-,11,108,"55,271",3.56092320456233,1.4679035457703102,1.0718927747084699,3.56092320456233,98122,17.69885856742563,26.54828785113844,44.24714641856407
58,58,317625.0,3,2.75,3809,2770,1.5,0.0,5,7,1770,1000.0,seattle,A-,11,108,"55,271",1.78115552818119,1.69823654246745,1.53624430749316,1.78115552818119,98144,58.65372171207985,52.788349540871856,111.4420712529517
59,59,287000.0,4,2.5,4648,2240,2.0,0.0,3,7,2240,0.0,federal way,C+,7,46,"23,489",3.45927628154069,2.35603729549841,2.25869453924432,3.45927628154069,98001,730.8116910345483,270.2624366844745,1001.0741277190227
60,60,204000.0,3,1.0,12070,1000,1.0,0.0,4,7,1000,0.0,kent,B,9,44,"27,291",3.16377716371943,1.1029163791589398,2.60786332315406,3.16377716371943,98042,268.5737792314582,93.59389276247785,362.1676719939361
61,61,1330000.0,5,2.25,20158,3200,1.0,0.0,3,8,1600,1600.0,bellevue,A+,13,31,"21,609",2.09897205377546,1.26792589895295,1.15683554683601,2.09897205377546,98004,5.5140376093757615,8.271056414063642,13.785094023439402
62,62,1040000.0,5,3.25,50094,4770,1.0,0.0,4,11,3070,1700.0,bellevue,A+,13,31,"21,609",4.31743913367026,3.23663150413495,2.47368171051567,4.31743913367026,98005,9.748172534465397,0.0,9.748172534465397
63,63,325000.0,3,2.0,5612,1260,1.0,0.0,4,7,1260,0.0,lake washington,A+,13,55,"30,675",2.16729532813316,2.46141289966357,1.47961400758718,2.16729532813316,98034,6.585031591030553,2.1950105303435183,8.780042121374072
64,64,571000.0,4,2.0,7807,2750,1.5,0.0,5,7,2250,500.0,seattle,A-,11,108,"55,271",5.396953972476231,2.95953562056144,2.71709530935124,5.396953972476231,98125,23.132246335198694,27.758695602238436,50.890941937437134
65,65,360000.0,4,2.5,5000,2380,2.0,0.0,3,8,2380,0.0,tahoma,A,12,9,"8,906",1.38285153919758,2.0390979285975,0.858152687166176,1.38285153919758,98038,257.41397001283934,123.11102913657534,380.52499914941467
66,66,349000.0,3,1.75,50529,1790,1.0,0.0,5,7,1090,700.0,kent,B,9,44,"27,291",1.88175047690088,3.32325440311513,3.9223674137918705,1.88175047690088,98042,268.5737792314582,93.59389276247785,362.1676719939361
67,67,832500.0,4,4.0,35102,3430,2.0,0.0,4,10,2390,1040.0,issaquah,A+,13,27,"20,897",4.562003599607429,3.95543540706268,1.92128823576112,4.562003599607429,98075,20.278386557473773,0.0,20.278386557473773
68,68,380000.0,4,1.75,7300,1760,1.0,0.0,3,7,880,880.0,bellevue,A+,13,31,"21,609",3.72055551482083,2.4376867158435203,1.55675579071485,3.72055551482083,98008,0.0,0.0,0.0
69,69,480000.0,3,1.0,5060,1040,1.0,0.0,3,7,1040,0.0,seattle,A-,11,108,"55,271",4.39916375740304,1.83217092366878,1.8572756237944401,4.39916375740304,98116,10.981204277925787,14.641605703901053,25.62280998182684
70,70,410000.0,3,1.0,5060,1410,1.0,0.0,4,7,910,500.0,seattle,A-,11,108,"55,271",3.8391618290562,0.381065294383816,1.84279866665272,3.8391618290562,98133,30.14211343357435,54.25580418043383,84.39791761400818
71,71,720000.0,4,2.5,39683,3450,2.0,0.0,3,10,3450,0.0,kent,B,9,44,"27,291",3.29010083313106,5.3295040975808,5.74001097987479,3.29010083313106,98010,32.06749052325487,16.033745261627434,48.101235784882306
72,72,390000.0,3,2.5,5100,2350,2.0,0.0,3,8,2350,0.0,tahoma,A,12,9,"8,906",1.74578991157196,3.6230620875839197,1.03623947418125,1.74578991157196,98038,257.41397001283934,123.11102913657534,380.52499914941467
73,73,360000.0,4,2.5,5889,1900,2.0,0.0,3,7,1900,0.0,tahoma,A,12,9,"8,906",2.0133794780493997,2.92127318824644,1.47288154276849,2.0133794780493997,98038,257.41397001283934,123.11102913657534,380.52499914941467
74,74,355000.0,2,1.0,6720,2020,1.0,0.0,3,7,1010,1010.0,seattle,A-,11,108,"55,271",2.48211724804496,1.0797974312771,2.97038184360072,2.48211724804496,98118,32.61598151293552,59.116466492195634,91.73244800513115
75,75,356000.0,3,1.5,8712,1680,1.0,0.0,3,8,1680,0.0,renton,B-,8,29,"16,425",4.35316755040017,2.66599199411354,2.32350843647211,4.35316755040017,98059,311.36759343912894,91.43334093053785,402.8009343696668
76,76,315000.0,3,1.0,6634,960,1.0,0.0,3,6,960,0.0,seattle,A-,11,108,"55,271",5.21589203565331,2.5118096746876803,2.6792093111749704,5.21589203565331,98125,23.132246335198694,27.758695602238436,50.890941937437134
77,77,940000.0,3,1.5,3600,2140,2.0,0.0,3,9,1900,240.0,seattle,A-,11,108,"55,271",4.42042299562029,1.99950339885628,1.08344223935056,4.42042299562029,98119,11.318552938098268,18.86425489683045,30.182807834928717
78,78,305000.0,5,2.25,8400,2660,1.5,0.0,5,7,2660,0.0,auburn,B,9,24,"17,505",1.98974501793424,3.18889237848752,3.2890586570692797,1.98974501793424,98092,215.23883705263447,59.644497014585475,274.88333406721995
79,79,215000.0,2,2.25,2040,1610,2.0,0.0,4,7,1610,0.0,renton,B-,8,29,"16,425",2.1420573391206,3.0197094668625897,1.64505790401333,2.1420573391206,98056,16.286731601503636,8.143365800751818,24.430097402255456
80,80,335000.0,2,1.75,1066,1030,2.0,0.0,3,7,765,265.0,seattle,A-,11,108,"55,271",4.83047499297791,1.76692619720139,2.59548360852855,4.83047499297791,98136,6.126509104697077,6.126509104697077,12.253018209394154
81,81,243500.0,4,2.5,7403,1980,2.0,0.0,3,7,1980,0.0,federal way,C+,7,46,"23,489",3.88348465727956,3.93779794198515,2.84770991443879,3.88348465727956,98023,0.0,1.9586023155340844,1.9586023155340844
82,82,1100000.0,5,2.75,6353,3520,2.0,0.0,4,10,3520,0.0,seattle,A-,11,108,"55,271",5.6418851707725,2.17298309916159,2.24938645825817,5.6418851707725,98199,0.0,4.630769527850908,4.630769527850908
83,83,153000.0,3,1.0,10500,1200,1.0,0.0,3,7,1200,0.0,federal way,C+,7,46,"23,489",3.41473036087618,2.37629827970992,2.42159782064606,3.41473036087618,98023,0.0,1.9586023155340844,1.9586023155340844
84,84,430000.0,3,1.5,5000,1580,1.0,0.0,3,8,1290,290.0,seattle,A-,11,108,"55,271",5.685841381039469,2.3438184643827302,2.23920749557036,5.685841381039469,98117,8.647461250942321,11.52994833458976,20.177409585532082
85,85,700000.0,3,1.5,5000,1580,1.0,0.0,3,8,1290,290.0,seattle,A-,11,108,"55,271",5.685841381039469,2.3438184643827302,2.23920749557036,5.685841381039469,98117,8.647461250942321,11.52994833458976,20.177409585532082
86,86,905000.0,4,2.5,10250,3300,1.0,0.0,3,7,2390,910.0,mercer island,A+,13,6,"4,522",1.29470477122213,2.19071608446374,2.13139439544433,1.29470477122213,98040,0.0,8.100445524503849,8.100445524503849
87,87,247500.0,3,1.75,15681,1960,1.0,0.0,3,7,1960,0.0,federal way,C+,7,46,"23,489",3.16303578429516,3.06852571877935,2.51942782930044,3.16303578429516,98032,131.41235292208776,59.001464577263896,190.41381749935167
88,88,199000.0,4,1.5,6400,1160,1.0,0.0,4,7,1160,0.0,federal way,C+,7,46,"23,489",4.26307776536855,3.94515170635394,2.98550898987989,4.26307776536855,98023,0.0,1.9586023155340844,1.9586023155340844
89,89,314000.0,3,1.75,41800,1810,1.0,0.0,5,7,1210,600.0,tahoma,A,12,9,"8,906",6.7473779442907205,5.8000786360274414,4.91787034163455,6.7473779442907205,98038,257.41397001283934,123.11102913657534,380.52499914941467
90,90,437500.0,3,2.5,36847,2320,2.0,0.0,3,9,2320,0.0,snoqualmie valley,A-,11,13,"7,214",9.95556323058688,9.345458894228411,3.57960347837507,9.95556323058688,98045,428.714111112358,75.65543137276906,504.36954248512706
91,91,850830.0,3,2.5,13241,2070,1.5,0.0,5,9,1270,800.0,seattle,A-,11,108,"55,271",3.21314515898471,1.57540751844213,1.07303638487816,3.21314515898471,98102,18.146248235957838,47.1802454134904,65.32649364944824
92,92,555000.0,3,2.0,3478,1980,1.5,0.0,4,7,1440,540.0,seattle,A-,11,108,"55,271",4.69374335386196,1.83769252149625,1.95324742554754,4.69374335386196,98117,8.647461250942321,11.52994833458976,20.177409585532082
93,93,699950.0,3,2.25,107593,2190,2.0,0.0,4,8,2190,0.0,northshore,A,12,39,23500,7.22852474428076,3.92365268034011,2.88039864478289,7.22852474428076,98077,477.48017002472,141.75192547608876,619.2320955008088
94,94,1090000.0,3,2.5,8113,2920,2.0,0.0,3,8,2920,0.0,bellevue,A+,13,31,"21,609",3.22522091543498,2.6503886472433,1.90174466916022,3.22522091543498,98004,5.5140376093757615,8.271056414063642,13.785094023439402
95,95,290000.0,3,1.0,33919,1210,1.0,0.0,3,7,1210,0.0,renton,B-,8,29,"16,425",4.56458790791046,2.64430422012691,2.1238160278558,4.56458790791046,98058,789.7351246089206,188.0321725259335,977.7672971348541
96,96,460000.0,3,1.0,4005,1670,1.5,0.0,4,7,1170,500.0,seattle,A-,11,108,"55,271",5.32174283139138,2.18418623577534,2.15185011146025,5.32174283139138,98117,8.647461250942321,11.52994833458976,20.177409585532082
97,97,188500.0,2,1.75,2493,1240,1.0,0.0,4,8,1240,0.0,highline,C+,7,40,"19,213",7.701468472585289,2.52379708320394,1.68535570041834,7.701468472585289,98198,26.59749261713449,37.23648966398829,63.83398228112277
98,98,680000.0,4,2.5,28037,3140,2.0,0.0,4,10,3140,0.0,northshore,A,12,39,23500,5.37671152095184,4.23860058658915,2.74175038366321,5.37671152095184,98077,477.48017002472,141.75192547608876,619.2320955008088
99,99,470000.0,5,1.75,12342,2030,2.0,0.0,4,7,2030,0.0,northshore,A,12,39,23500,5.2298812340781,3.83035927617332,1.17269231720661,5.2298812340781,98052,77.13147242154055,17.59138844701802,94.72286086855857
100,100,597750.0,4,2.5,9624,2310,2.0,0.0,3,8,2310,0.0,issaquah,A+,13,27,"20,897",0.561754971427375,1.53581416918821,0.534384065348693,0.561754971427375,98027,318.2653854952511,54.65163185271989,372.917017347971
101,101,570000.0,3,1.75,3328,1260,1.0,0.0,5,6,700,560.0,seattle,A-,11,108,"55,271",3.45124120427179,1.82391236337358,1.64579137607766,3.45124120427179,98103,7.368066028186903,29.472264112747613,36.84033014093452
102,102,272500.0,3,1.75,12600,1540,1.0,0.0,4,7,1160,0.0,tahoma,A,12,9,"8,906",0.968650805899253,2.0258924575920303,0.583351331033975,0.968650805899253,98038,257.41397001283934,123.11102913657534,380.52499914941467
103,103,329950.0,3,1.75,5969,2080,1.0,0.0,3,7,1080,1000.0,seattle,A-,11,108,"55,271",2.38628333699038,1.28660176861186,2.90967101865355,2.38628333699038,98108,256.55847332709567,106.57044276663977,363.1289160937354
104,104,480000.0,4,2.5,16171,3230,2.0,0.0,3,9,2520,710.0,federal way,C+,7,46,"23,489",1.6862987302229597,2.75857814063777,1.39503776604026,1.6862987302229597,98001,730.8116910345483,270.2624366844745,1001.0741277190227
105,105,740500.0,3,3.5,6350,4380,2.0,0.0,3,8,2780,0.0,seattle,A-,11,108,"55,271",4.83995914937464,1.90698358111618,2.11141620313245,4.83995914937464,98117,8.647461250942321,11.52994833458976,20.177409585532082
106,106,518500.0,3,3.5,1102,1590,3.0,0.0,3,8,1590,0.0,seattle,A-,11,108,"55,271",3.3536036673437404,1.77063833874222,1.60539594430055,3.3536036673437404,98103,7.368066028186903,29.472264112747613,36.84033014093452
107,107,205425.0,2,1.0,6780,880,1.0,0.0,4,6,880,0.0,renton,B-,8,29,"16,425",2.6722630156687,2.4831455080761,1.83931466366564,2.6722630156687,98178,1312.8919047607326,716.1228571422178,2029.0147619029503
108,108,535000.0,4,1.0,2982,1610,1.5,0.0,4,7,1610,0.0,seattle,A-,11,108,"55,271",2.77069494984988,1.72381764531153,1.40006678903244,2.77069494984988,98144,58.65372171207985,52.788349540871856,111.4420712529517
109,109,660000.0,3,2.5,6474,2400,1.0,0.0,3,8,1560,840.0,seattle,A-,11,108,"55,271",8.896779010853571,2.48102850131241,4.39575119782236,8.896779010853571,98177,14.641437777476597,4.880479259158865,19.52191703663546
110,110,391500.0,3,2.0,9132,1450,1.0,0.0,3,7,1450,0.0,lake washington,A+,13,55,"30,675",3.09712341237001,3.01776225076584,1.83508897384816,3.09712341237001,98034,6.585031591030553,2.1950105303435183,8.780042121374072
111,111,395000.0,2,1.0,6000,770,1.0,0.0,3,6,770,0.0,seattle,A-,11,108,"55,271",4.67303020780015,1.7395494459222,2.00356740991769,4.67303020780015,98117,8.647461250942321,11.52994833458976,20.177409585532082
112,112,770000.0,3,2.25,10204,2910,2.0,0.0,3,9,2910,0.0,northshore,A,12,39,23500,4.39153585852934,2.40512122535551,1.13353092289331,4.39153585852934,98052,77.13147242154055,17.59138844701802,94.72286086855857
113,113,1450000.0,4,2.75,17789,2750,1.5,0.0,3,8,1980,770.0,bellevue,A+,13,31,"21,609",2.38340389013174,1.65441472690206,0.782728658343398,2.38340389013174,98004,5.5140376093757615,8.271056414063642,13.785094023439402
114,114,260000.0,4,2.25,8811,2160,1.0,0.0,3,8,1360,800.0,federal way,C+,7,46,"23,489",5.36188075436667,4.89892058574691,3.78187539243048,5.36188075436667,98023,0.0,1.9586023155340844,1.9586023155340844
115,115,822500.0,5,3.5,4960,2320,2.0,0.0,5,7,1720,600.0,seattle,A-,11,108,"55,271",3.47237865643692,2.07042432844897,1.63113746853594,3.47237865643692,98103,7.368066028186903,29.472264112747613,36.84033014093452
116,116,430000.0,4,2.5,4310,2070,2.0,0.0,3,7,2070,0.0,snoqualmie valley,A-,11,13,"7,214",2.4713746435805,3.1499049828854604,2.49229085542037,2.4713746435805,98065,499.0990630141628,126.35419316814249,625.4532561823053
117,117,212000.0,3,1.75,7875,1060,1.0,0.0,4,7,1060,0.0,auburn,B,9,24,"17,505",2.0531835441118202,5.4697525194819105,3.65695115301581,2.0531835441118202,98092,215.23883705263447,59.644497014585475,274.88333406721995
118,118,660500.0,4,2.25,9603,2010,1.0,0.0,3,8,1440,570.0,issaquah,A+,13,27,"20,897",0.835078021395579,1.6788967145392901,0.883731185882959,0.835078021395579,98027,318.2653854952511,54.65163185271989,372.917017347971
